true_intent,predicted_intent,count
wrong_exchange_rate_for_cash_withdrawal,wrong_amount_of_cash_received,1
virtual_card_not_working,getting_virtual_card,1
automatic_top_up,topping_up_by_card,1
atm_support,verify_source_of_funds,1
balance_not_updated_after_cheque_or_cash_deposit,top_up_reverted,1
topping_up_by_card,reverted_card_payment?,1
topping_up_by_card,supported_cards_and_currencies,1
topping_up_by_card,top_up_failed,1
topping_up_by_card,top_up_limits,1
balance_not_updated_after_cheque_or_cash_deposit,pending_top_up,1
transfer_fee_charged,card_payment_fee_charged,1
transfer_fee_charged,extra_charge_on_statement,1
transfer_into_account,balance_not_updated_after_bank_transfer,1
transfer_into_account,receiving_money,1
unable_to_verify_identity,passcode_forgotten,1
balance_not_updated_after_bank_transfer,transfer_timing,1
balance_not_updated_after_bank_transfer,failed_transfer,1
transfer_into_account,transfer_timing,1
automatic_top_up,verify_source_of_funds,1
activate_my_card,card_arrival,1
transfer_not_received_by_recipient,pending_transfer,1
wrong_exchange_rate_for_cash_withdrawal,exchange_rate,1
transfer_timing,failed_transfer,1
transfer_timing,pending_top_up,1
transfer_timing,pending_transfer,1
unable_to_verify_identity,cash_withdrawal_not_recognised,1
transfer_into_account,supported_cards_and_currencies,1
country_support,verify_source_of_funds,1
declined_card_payment,pending_card_payment,1
declined_card_payment,top_up_reverted,1
declined_cash_withdrawal,top_up_reverted,1
declined_cash_withdrawal,wrong_amount_of_cash_received,1
card_not_working,unable_to_verify_identity,1
card_not_working,pin_blocked,1
declined_transfer,declined_cash_withdrawal,1
declined_transfer,pending_transfer,1
declined_transfer,transfer_fee_charged,1
pending_cash_withdrawal,cash_withdrawal_charge,1
card_not_working,card_payment_fee_charged,1
card_not_working,card_arrival,1
direct_debit_payment_not_recognised,terminate_account,1
direct_debit_payment_not_recognised,transfer_fee_charged,1
card_not_working,card_acceptance,1
disposable_card_limits,getting_virtual_card,1
card_linking,topping_up_by_card,1
card_delivery_estimate,order_physical_card,1
exchange_charge,wrong_exchange_rate_for_cash_withdrawal,1
exchange_rate,card_payment_wrong_exchange_rate,1
declined_transfer,transfer_into_account,1
card_payment_wrong_exchange_rate,transaction_charged_twice,1
card_payment_wrong_exchange_rate,card_payment_fee_charged,1
card_swallowed,card_not_working,1
card_swallowed,contactless_not_working,1
card_payment_not_recognised,reverted_card_payment?,1
cash_withdrawal_charge,card_payment_fee_charged,1
cash_withdrawal_charge,extra_charge_on_statement,1
cash_withdrawal_not_recognised,Refund_not_showing_up,1
cash_withdrawal_not_recognised,card_payment_not_recognised,1
cash_withdrawal_not_recognised,compromised_card,1
country_support,supported_cards_and_currencies,1
change_pin,get_physical_card,1
compromised_card,card_payment_not_recognised,1
compromised_card,terminate_account,1
compromised_card,unable_to_verify_identity,1
contactless_not_working,activate_my_card,1
card_payment_fee_charged,extra_charge_on_statement,1
contactless_not_working,card_payment_fee_charged,1
contactless_not_working,order_physical_card,1
contactless_not_working,reverted_card_payment?,1
contactless_not_working,verify_source_of_funds,1
country_support,order_physical_card,1
cash_withdrawal_not_recognised,wrong_amount_of_cash_received,1
getting_spare_card,receiving_money,1
getting_spare_card,visa_or_mastercard,1
getting_virtual_card,balance_not_updated_after_cheque_or_cash_deposit,1
getting_virtual_card,card_acceptance,1
getting_virtual_card,get_disposable_virtual_card,1
getting_virtual_card,order_physical_card,1
lost_or_stolen_card,card_arrival,1
lost_or_stolen_card,cash_withdrawal_not_recognised,1
lost_or_stolen_card,getting_spare_card,1
lost_or_stolen_card,reverted_card_payment?,1
exchange_via_app,exchange_rate,1
lost_or_stolen_card,topping_up_by_card,1
lost_or_stolen_phone,lost_or_stolen_card,1
card_acceptance,declined_card_payment,1
order_physical_card,card_not_working,1
order_physical_card,getting_virtual_card,1
passcode_forgotten,receiving_money,1
pending_card_payment,card_delivery_estimate,1
pending_card_payment,reverted_card_payment?,1
pending_card_payment,transaction_charged_twice,1
pending_cash_withdrawal,wrong_amount_of_cash_received,1
card_acceptance,card_not_working,1
lost_or_stolen_card,terminate_account,1
extra_charge_on_statement,direct_debit_payment_not_recognised,1
extra_charge_on_statement,reverted_card_payment?,1
extra_charge_on_statement,transfer_fee_charged,1
extra_charge_on_statement,transfer_not_received_by_recipient,1
card_delivery_estimate,card_linking,1
failed_transfer,declined_transfer,1
failed_transfer,order_physical_card,1
failed_transfer,transfer_into_account,1
failed_transfer,transfer_not_received_by_recipient,1
fiat_currency_support,country_support,1
card_acceptance,order_physical_card,1
fiat_currency_support,exchange_rate,1
card_delivery_estimate,card_arrival,1
fiat_currency_support,pending_card_payment,1
card_arrival,why_verify_identity,1
card_arrival,transfer_not_received_by_recipient,1
card_arrival,get_physical_card,1
visa_or_mastercard,supported_cards_and_currencies,1
get_physical_card,card_arrival,1
get_physical_card,card_linking,1
get_physical_card,change_pin,1
getting_spare_card,getting_virtual_card,1
fiat_currency_support,exchange_charge,1
